現契約終了日,完了予定日,商談名,失注種別,失注理由,受注/失注理由詳細,商談 所有者,TGT種別*商談(2024年度下期~,MRR,金額,期待収益
2025/04/29,2025/04/30,ファイルフォース株式会社様向け 更新商談(2025年4月開始),Timing-見送り,その他,トライアルのため,三澤 拓也,戦略SGT(IT),280000,280000,0
2025/11/30,2025/12/01,Piece to Peace様（キャリーミー）向け 更新商談(2025年12月開始),Lost-他決,Budget – 予算不足,BDR用途での利用で効果実感がなく、他社営業代行導入へのスイッチにより解約,金子 瑞穂,"検証SGT(WEB広告,人材)",200000,2400000,0
2025/08/12,2025/08/13,GVA TECH株式会社様向け 更新商談(2025年8月開始),Timing-見送り,Budget – 予算不足,BDRの現場は使いたいとなっていたが、レター施策、トークブラッシュアップなどの伴走支援を実施していたものの、経営のコストカット方針を覆すだけの費用対効果を見出すことができなかった。,内藤 陽太,戦略SGT(IT),275000,3250000,0
2025/10/31,2025/11/01,株式会社アルダグラム様向け 更新商談(2025年11月開始),Timing-見送り,Budget – 予算不足,"月3件のアポ獲得がないとib導入のROIが釣り合わない。
実現するための提案が求められ、提案するも、事例が自社とFitしない、体制が自社とfitしないとのことで、伴走時のコミュニュケーション難易度が高い状態/クレームあり。
【振り返り】
・手紙施策前提で導入決定しており、効果創出について、tobeの合意形成とグリップが弱かった（先方の組織変更、人員変更などもあり）
・CSの支援体制に関する合意が弱かった",金子 瑞穂,戦略SGT(IT),250000,1500000,0
2025/11/17,2025/11/18,株式会社三光アド様向け 更新商談(2025年11月開始),Timing-見送り,Timing – タイミング不一致,グループ会社への統合により人件費含めたツールの見直しとなりご解約,細矢 由夏,"検証SGT(WEB広告,人材)",325000,1950000,0
2025/11/30,2025/12/01,株式会社データX様向け 更新商談（自社利用）*二次利用なし）(2025年12月開始),Lost-他決,要件不一致 – 機能が合わない,今後ABMに注力する方針となった際に人物情報の物足りなさにより他サービス（スピーダ等）を検討することになったため,細矢 由夏,その他,350000,2100000,0
2025/11/08,2025/11/09,株式会社ギャプライズ様向け 更新商談(2025年11月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,BDR用途で利用したがアポに繋がらず体制変更後、BDRを行わなくなったため,金子 瑞穂,"検証SGT(WEB広告,人材)",275000,1100000,0
2026/01/03,2026/01/04,株式会社Innovation & Co.様向け 更新商談(2026年1月開始),Timing-見送り,方針・体制の変更（例 アウトバウンドを行わなくなった）,"・体制変更
　ABMの施策、体制がクローズ
　営業人員が減り、推進者丹野さんの業務が現場よりに変更

・データの劣後
Usonarに比べて、中小企業などデータの不正が多い
実際に導入の決め手となった部署直通番号やインテントデータの数が少なく、優位性が見出せなかった",金子 瑞穂,戦略SGT(IT),265000,1500000,0
2025/12/31,2026/01/01,株式会社電通様向け 更新商談(2026年1月開始),Timing-見送り,方針・体制の変更（例 アウトバウンドを行わなくなった）,"インテントがあがった先に対して誰がどのようにデータを見てもアプローチできる状態にしたかったが
インテントとして上がってくる企業が少ないことに対し現状の体制や仕組みを早期につくるのは難しいとのことでご解約",細矢 由夏,"検証SGT(WEB広告,人材)",400000,1600000,0
2025/11/09,2025/11/10,株式会社三井住友銀行様向け 更新商談(2025年11月開始),Lost-他決,要件不一致 – 機能が合わない,"営業アプローチ前に反社与信のようなOPがある（この企業にアプローチして良いかどうかジャッジするOP）
現在の営業ターゲットが新設法人（SMBよりの）であり、営業前企業チェックには代表者名が必要。
このデータの取得と経済条件を含む取得条件がibでは実現が難しく、TSRからデータを買うという他決に着地したため、POC期間内で終了。",金子 瑞穂,その他,0,600000,0
